,col_name,value
224,Producer Price Index (YoY)_VOL_AUD_Daily,0.00044419977827338334
440,TR_TRIX_AUD13,0.0004416503495815476
510,MOM_STOCH_OSCILLATOR_AUD5,0.00042621952000814405
281,Unemployment Rate s_a__PC_USD_Daily,0.0004260855182419491
172,Import Price Index (QoQ)_PC_AUD_Daily,0.00042543511110457687
359,correl_AUD_CHF_20p,0.00042468966558726836
417,TR_DPO_AUD6,0.00042330206177408657
423,TR_DPO_AUD15,0.00041348726036804725
168,Gross Domestic Product (YoY)_PC_AUD_Daily,0.00040964383820750146
475,TR_VI_POS_AUD15,0.0003994377010922994
34,Private Sector Credit (YoY)_PC_AUD_hourly,0.00039463238670860764
806,month_2,0.00038982378345646515
467,TR_VI_POS_AUD11,0.00038618042556018997
269,Part-time employment_PC_USD_Daily,0.0003838161853174911
262,Import Price Index (QoQ)_PC_USD_Daily,0.0003828923714131474
398,TR_CCI_AUD7,0.00038266663321459646
407,TR_CCI_AUD16,0.0003783687045190251
244,Westpac Leading Index (MoM)_VOL_AUD_Daily,0.00037696902599004345
361,correl_AUD_GBP_7p,0.0003757740386419918
432,TR_TRIX_AUD5,0.0003753930123651107
507,MOM_STOCH_OSCILLATOR_AUD2,0.0003749086660243904
780,STDEV_AUD_H1_2p_h1_2,0.0003748357357276834
489,MOM_RSI_AUD3,0.00037362622239583173
438,TR_TRIX_AUD11,0.00036985679056354703
459,TR_VI_POS_AUD7,0.00035953800975062247
190,Trade Balance_PC_AUD_Daily,0.00035522877720712843
546,MOM_UO_AUD,0.0003530314269896098
424,TR_DPO_AUD16,0.00035230533000918493
114,Westpac Consumer Confidence_PC_USD_hourly,0.00034168596686580686
550,VOL_ATR_AUD3,0.00033979256769680363
8,PC_macro_economic_ind_AUD_daily,0.00033857969413943076
379,TR_ADX_AUD7,0.00033209751015165557
344,STDEV_AUD_H4_2p,0.00033112971761638216
771,STDEV_AUD_H1_2p_h1_1,0.00033007260602926236
447,TR_TRIX_AUD20,0.00032984903126069174
267,New Motor Vehicle Sales (MoM)_PC_USD_Daily,0.00032979758494718346
416,TR_DPO_AUD5,0.00032974396018129804
448,TR_VI_NEG_AUD1,0.0003295817858246773
421,TR_DPO_AUD13,0.0003274559297608419
363,correl_AUD_GBP_10p,0.00032610226066927874
367,correl_AUD_JPY_10p,0.00031740685462405057
418,TR_DPO_AUD8,0.00031718786523529506
107,Private Sector Credit (YoY)_PC_USD_hourly,0.00031428106427353324
435,TR_TRIX_AUD8,0.000313319487682148
456,TR_VI_NEG_AUD6,0.00031202233229359283
478,TR_VI_NEG_AUD17,0.0003062689302295362
814,month_10,0.0003048591751635946
463,TR_VI_POS_AUD9,0.00030039888424222383
339,PC7_AUD_H4,0.000290918673682461
566,VOL_ATR_AUD19,0.0002896120225658236
612,VOL_BOLLINGER_L_BANDS_AUD16,0.0002876629635140846
437,TR_TRIX_AUD10,0.00028725888875702374
250,Company Gross Operating Profits (QoQ)_PC_USD_Daily,0.0002826169012614471
343,STDEV_AUD_H4_1p,0.00028007631662632887
770,PC3_AUD_H1_h1_1,0.00027677011265047355
403,TR_CCI_AUD12,0.00027309376453575786
603,VOL_BOLLINGER_L_BANDS_AUD7,0.00027152436807496204
245,ANZ Job Advertisements_PC_USD_Daily,0.00026825965411991873
453,TR_VI_POS_AUD4,0.0002652693078632743
411,TR_CCI_AUD20,0.00026489803681880463
23,House Price Index (YoY)_PC_AUD_hourly,0.0002629747162535203
788,PC2_AUD_H1_h1_2_1,0.0002607867526478585
221,Private Sector Credit (MoM)_VOL_AUD_Daily,0.0002586683071448108
454,TR_VI_NEG_AUD5,0.00025772741237126693
483,TR_VI_POS_AUD19,0.00025768623312476355
248,Building Permits (YoY)_PC_USD_Daily,0.0002535502137299951
446,TR_TRIX_AUD19,0.0002534803740472076
433,TR_TRIX_AUD6,0.0002502893025576449
425,TR_DPO_AUD17,0.00024959317782559696
405,TR_CCI_AUD14,0.00024715135125783345
477,TR_VI_POS_AUD16,0.00024699403206145316
399,TR_CCI_AUD8,0.0002417308032469634
563,VOL_ATR_AUD16,0.00023532777106307192
400,TR_CCI_AUD9,0.00023054720466001775
392,TR_ADX_AUD20,0.00023046474472994277
688,VOL_DONCHAIN_CHANNEL_L_BAND_AUD11,0.00023045949705441054
410,TR_CCI_AUD19,0.00022967254293031935
415,TR_DPO_AUD4,0.0002286054205478514
452,TR_VI_NEG_AUD4,0.0002269178377635179
338,PC2_AUD_H4,0.00022267299039811892
179,Part-time employment_PC_AUD_Daily,0.0002210942998511207
351,correl_AUD_CAD_7p,0.00021976842947501782
772,STDEV_AUD_H1_3p_h1_1,0.00021648154555084552
191,Unemployment Rate s_a__PC_AUD_Daily,0.00021556590941511009
522,MOM_STOCH_OSCILLATOR_AUD17,0.00021403360930193657
303,National Australia Bank's Business Confidence_VOL_USD_Daily,0.00020712453631648007
158,Building Permits (YoY)_PC_AUD_Daily,0.00020504140341586928
445,TR_TRIX_AUD18,0.00020454394767562754
299,Imports_VOL_USD_Daily,0.0002040545263222178
583,VOL_BOLLINGER_BANDS_AUD17,0.00020391079649991712
647,VOL_DONCHAIN_CHANNEL_H_BAND_AUD9,0.00020273080286197057
689,VOL_DONCHAIN_CHANNEL_L_BAND_AUD12,0.00019960034128082836
504,MOM_RSI_AUD18,0.0001995089555204284
558,VOL_ATR_AUD11,0.00019586481203188034
652,VOL_DONCHAIN_CHANNEL_H_BAND_AUD14,0.00019404694524268986
476,TR_VI_NEG_AUD16,0.00019404176325156874
29,New Motor Vehicle Sales (YoY)_PC_AUD_hourly,0.0001906322119466588
692,VOL_DONCHAIN_CHANNEL_L_BAND_AUD15,0.00018913839997123936
791,STDEV_AUD_H1_3p_h1_2_1,0.00018614132634775196
813,month_9,0.00018094607762408687
606,VOL_BOLLINGER_L_BANDS_AUD10,0.00017886248288947264
523,MOM_STOCH_OSCILLATOR_AUD18,0.00017852056981118095
514,MOM_STOCH_OSCILLATOR_AUD9,0.0001774848295318309
377,TR_ADX_AUD5,0.00017650761986057312
238,RBA's Governor Philip Lowe Speech_VOL_AUD_Daily,0.00017404768802035367
512,MOM_STOCH_OSCILLATOR_AUD7,0.0001677400099881606
518,MOM_STOCH_OSCILLATOR_AUD13,0.00016770665418284263
573,VOL_BOLLINGER_BANDS_AUD7,0.00016691086643327562
6,PC_macro_economic_ind_AUD_hourly,0.00016543517239048044
246,AiG Performance of Mfg Index_PC_USD_Daily,0.00016368742556626797
401,TR_CCI_AUD10,0.00016220889351212874
664,VOL_DONCHAIN_CHANNEL_H_BAND_INDICATOR_AUD7,0.00016134406321128696
469,TR_VI_POS_AUD12,0.00016079418469585894
585,VOL_BOLLINGER_BANDS_AUD19,0.00016008001699175292
810,month_6,0.00015980578249780568
526,MOM_STOCH_OSCILLATOR_SIGNAL_AUD2,0.0001596588603490987
790,STDEV_AUD_H1_2p_h1_2_1,0.0001581588027024557
192,Westpac Consumer Confidence_PC_AUD_Daily,0.00015737495968626863
247,Building Permits (MoM)_PC_USD_Daily,0.0001536797176688255
378,TR_ADX_AUD6,0.0001535189083103318
353,correl_AUD_CAD_20p,0.00015221213964908525
406,TR_CCI_AUD15,0.0001493440380805616
96,House Price Index (YoY)_PC_USD_hourly,0.0001472825535842098
428,TR_TRIX_AUD1,0.0001462503672992833
309,Participation Rate_VOL_USD_Daily,0.00014526333444240953
348,STDEV_AUD_H4_14p,0.00014272236084025855
697,VOL_DONCHAIN_CHANNEL_L_BAND_AUD20,0.00014037162572153045
53,House Price Index (YoY)_VOL_AUD_hourly,0.00013748113700878914
17,Employment Change s_a__PC_AUD_hourly,0.00013648359560016672
225,RBA Assist Gov Debelle Speech_VOL_AUD_Daily,0.00013503574224330253
171,House Price Index (YoY)_PC_AUD_Daily,0.00013402275496821587
552,VOL_ATR_AUD5,0.0001336762645624666
397,TR_CCI_AUD6,0.00013256875088802863
279,TD Securities Inflation (YoY)_PC_USD_Daily,0.0001314388220625749
540,MOM_STOCH_OSCILLATOR_SIGNAL_AUD16,0.00012964565131345907
102,New Motor Vehicle Sales (YoY)_PC_USD_hourly,0.00012926201462426832
99,National Australia Bank's Business Conditions_PC_USD_hourly,0.0001291081782231309
219,Participation Rate_VOL_AUD_Daily,0.00012833950892274582
213,National Australia Bank's Business Confidence_VOL_AUD_Daily,0.00012740267530149583
43,Westpac Leading Index (MoM)_PC_AUD_hourly,0.00012671155538954252
797,PC3_AUD_H1_h1_4,0.00012602586063884563
527,MOM_STOCH_OSCILLATOR_SIGNAL_AUD3,0.00012537359497929619
536,MOM_STOCH_OSCILLATOR_SIGNAL_AUD12,0.000123788253834587
273,Producer Price Index (QoQ)_PC_USD_Daily,0.00012318369526222514
427,TR_DPO_AUD20,0.00012171646437725357
156,AiG Performance of Mfg Index_PC_AUD_Daily,0.00012150647416424247
509,MOM_STOCH_OSCILLATOR_AUD4,0.00012020398873640747
586,VOL_BOLLINGER_BANDS_AUD20,0.00011997834639504077
608,VOL_BOLLINGER_L_BANDS_AUD12,0.00011867295704171975
472,TR_VI_NEG_AUD14,0.00011783933019458166
188,TD Securities Inflation (MoM)_PC_AUD_Daily,0.00011665352658923098
176,National Australia Bank's Business Confidence (QoQ)_PC_AUD_Daily,0.00011624789097451967
376,TR_ADX_AUD4,0.000115976649227391
553,VOL_ATR_AUD6,0.00011588579830578681
413,TR_DPO_AUD2,0.00011418967920885333
56,National Australia Bank's Business Confidence_VOL_AUD_hourly,0.00011252273403926407
183,Producer Price Index (QoQ)_PC_AUD_Daily,0.00011196333274635632
18,Export Price Index (QoQ)_PC_AUD_hourly,0.00011169848544924539
341,PC20_AUD_H4,0.00010755907879118425
525,MOM_STOCH_OSCILLATOR_AUD20,0.00010675483829601034
539,MOM_STOCH_OSCILLATOR_SIGNAL_AUD15,0.00010602691136581084
461,TR_VI_POS_AUD8,0.00010563190189893774
789,PC3_AUD_H1_h1_2_1,0.0001048203019795469
266,National Australia Bank's Business Confidence (QoQ)_PC_USD_Daily,0.00010433412095345681
258,Gross Domestic Product (YoY)_PC_USD_Daily,0.00010306014018506205
429,TR_TRIX_AUD2,0.00010218043582706186
485,TR_VI_POS_AUD20,0.00010087868206768372
548,VOL_ATR_AUD1,9.862816769468493e-05
642,VOL_DONCHAIN_CHANNEL_H_BAND_AUD4,9.721862041458161e-05
346,STDEV_AUD_H4_7p,9.659201521491754e-05
746,VOL_KELTNER_CHANNEL_L_BAND_AUD1,9.648886492368481e-05
479,TR_VI_POS_AUD17,9.61771001370873e-05
698,VOL_DONCHAIN_CHANNEL_L_BAND_INDICATOR_AUD2,9.603657717655128e-05
521,MOM_STOCH_OSCILLATOR_AUD16,8.814596785899461e-05
371,correl_EUR_AUD_7p,8.769749601804148e-05
568,VOL_BOLLINGER_BANDS_AUD2,8.762890955719987e-05
496,MOM_RSI_AUD10,8.73544674651601e-05
383,TR_ADX_AUD11,8.71829131091492e-05
481,TR_VI_POS_AUD18,8.597618386575764e-05
408,TR_CCI_AUD17,8.552875811704807e-05
111,TD Securities Inflation (MoM)_PC_USD_hourly,8.543342647090047e-05
390,TR_ADX_AUD18,8.437453409402603e-05
282,Westpac Consumer Confidence_PC_USD_Daily,8.355570620454591e-05
653,VOL_DONCHAIN_CHANNEL_H_BAND_AUD15,8.313970128985467e-05
506,MOM_RSI_AUD20,8.264700441875831e-05
22,House Price Index (QoQ)_PC_AUD_hourly,8.091497113349868e-05
562,VOL_ATR_AUD15,8.0183131169912e-05
74,RBA Foreign Exchange Transaction_VOL_AUD_hourly,8.012246490271771e-05
557,VOL_ATR_AUD10,7.956902445640443e-05
609,VOL_BOLLINGER_L_BANDS_AUD13,7.88800524091635e-05
490,MOM_RSI_AUD4,7.856346930710278e-05
324,RBA Rate Statement_VOL_USD_Daily,7.825965480189363e-05
409,TR_CCI_AUD18,7.690233972718481e-05
484,TR_VI_NEG_AUD20,7.663091566473543e-05
460,TR_VI_NEG_AUD8,7.590578739444081e-05
44,AiG Performance of Services Index_VOL_AUD_hourly,7.511804214130635e-05
471,TR_VI_POS_AUD13,7.486233418980539e-05
277,Retail Sales s_a_ (MoM)_PC_USD_Daily,7.208684733767431e-05
547,MOM_WR_AUD,7.1984395575039e-05
473,TR_VI_POS_AUD14,7.175944405704972e-05
159,CFTC AUD NC net positions_PC_AUD_Daily,7.13584160690487e-05
426,TR_DPO_AUD18,7.085602250640294e-05
38,TD Securities Inflation (MoM)_PC_AUD_hourly,7.070196391577217e-05
234,RBA Rate Statement_VOL_AUD_Daily,6.97550763382609e-05
165,Export Price Index (QoQ)_PC_AUD_Daily,6.883487386067439e-05
470,TR_VI_NEG_AUD13,6.802234448825023e-05
414,TR_DPO_AUD3,6.667463738452415e-05
384,TR_ADX_AUD12,6.654367311303904e-05
386,TR_ADX_AUD14,6.638440845220383e-05
815,month_11,6.594250479010631e-05
249,CFTC AUD NC net positions_PC_USD_Daily,6.569928624885442e-05
222,Private Sector Credit (YoY)_VOL_AUD_Daily,6.481143338824085e-05
658,VOL_DONCHAIN_CHANNEL_H_BAND_AUD20,6.454812863523207e-05
285,AiG Performance of Services Index_VOL_USD_Daily,6.420764729300552e-05
466,TR_VI_NEG_AUD11,6.36513335862155e-05
187,Retail Sales s_a_ (MoM)_PC_AUD_Daily,6.255860537017966e-05
431,TR_TRIX_AUD4,6.200476731184679e-05
422,TR_DPO_AUD14,6.145285346564876e-05
554,VOL_ATR_AUD7,6.107290994350753e-05
530,MOM_STOCH_OSCILLATOR_SIGNAL_AUD6,5.926910563777855e-05
533,MOM_STOCH_OSCILLATOR_SIGNAL_AUD9,5.915313482129955e-05
436,TR_TRIX_AUD9,5.851802564828303e-05
315,RBA Assist Gov Debelle Speech_VOL_USD_Daily,5.736277671977102e-05
2,PC_macro_economic_ind_USD_hourly,5.727225696142945e-05
274,RBA Foreign Exchange Transaction_PC_USD_Daily,5.5171183930303345e-05
82,ANZ Job Advertisements_PC_USD_hourly,5.486006338491868e-05
513,MOM_STOCH_OSCILLATOR_AUD8,5.4762027948062635e-05
412,TR_DPO_AUD1,5.407877168017888e-05
531,MOM_STOCH_OSCILLATOR_SIGNAL_AUD7,5.3352838055808154e-05
91,Export Price Index (QoQ)_PC_USD_hourly,5.3292668392548723e-05
256,Exports_PC_USD_Daily,5.252442351287732e-05
106,Private Sector Credit (MoM)_PC_USD_hourly,5.2385532361709e-05
394,TR_CCI_AUD3,5.1921216544488016e-05
395,TR_CCI_AUD4,5.115241849231342e-05
745,VOL_KELTNER_CHANNEL_H_BAND_AUD20,5.070947487470931e-05
434,TR_TRIX_AUD7,5.0685141558258835e-05
95,House Price Index (QoQ)_PC_USD_hourly,5.056453142943987e-05
316,RBA Assist Gov Edey Speech _VOL_USD_Daily,5.02075634803255e-05
391,TR_ADX_AUD19,4.836698954394243e-05
226,RBA Assist Gov Edey Speech _VOL_AUD_Daily,4.836688806456943e-05
276,RBA trimmed mean CPI (YoY)_PC_USD_Daily,4.722260883975491e-05
51,Exports_VOL_AUD_hourly,4.6168889789941e-05
482,TR_VI_NEG_AUD19,4.5185680763980576e-05
528,MOM_STOCH_OSCILLATOR_SIGNAL_AUD4,4.3932909061518463e-05
699,VOL_DONCHAIN_CHANNEL_L_BAND_INDICATOR_AUD3,4.3300512682234904e-05
194,Westpac Leading Index (MoM)_PC_AUD_Daily,4.279576014474026e-05
449,TR_VI_POS_AUD1,3.9745489403423616e-05
420,TR_DPO_AUD12,3.786246771983488e-05
462,TR_VI_NEG_AUD9,3.477715119841642e-05
389,TR_ADX_AUD17,3.388241652944893e-05
126,House Price Index (YoY)_VOL_USD_hourly,3.1966007877099125e-05
589,VOL_BOLLINGER_H_BANDS_AUD10,3.1776643144018316e-05
207,House Price Index (YoY)_VOL_AUD_Daily,3.103724182875732e-05
185,RBA trimmed mean CPI (QoQ)_PC_AUD_Daily,3.072871202259173e-05
538,MOM_STOCH_OSCILLATOR_SIGNAL_AUD14,2.9811904055155447e-05
541,MOM_STOCH_OSCILLATOR_SIGNAL_AUD17,2.595022041807072e-05
508,MOM_STOCH_OSCILLATOR_AUD3,1.6759250058195176e-05
10,AiG Performance of Mfg Index_PC_AUD_hourly,1.6728892818244106e-05
284,Westpac Leading Index (MoM)_PC_USD_Daily,1.5661451487337084e-05
101,National Australia Bank's Business Confidence (QoQ)_PC_USD_hourly,1.502003688048716e-05
297,House Price Index (YoY)_VOL_USD_Daily,1.4582766920326941e-05
12,Building Permits (YoY)_PC_AUD_hourly,1.4487078780596206e-05
474,TR_VI_NEG_AUD15,1.4395977948775124e-05
94,HIA New Home Sales (MoM)_PC_USD_hourly,1.3865660447839571e-05
402,TR_CCI_AUD11,1.350929066763463e-05
130,National Australia Bank's Business Confidence (QoQ)_VOL_USD_hourly,1.3266047977012847e-05
