,col_name,value
818,dayofweek_1,0.16396840462446524
819,dayofweek_2,0.16329238204125335
802,hour,0.12052880811580269
817,dayofweek_0,0.10420384172282772
820,dayofweek_3,0.06708971950930825
821,dayofweek_4,0.04310496861687018
7,Volatility_AUD_daily,0.03672856688589526
3,Volatility_USD_daily,0.02755787331505726
373,correl_EUR_AUD_20p,0.023458177619760996
774,correl_AUD_CHF_3p_h1_1,0.013136222202511207
221,Private Sector Credit (MoM)_VOL_AUD_Daily,0.010429105387889439
259,HIA New Home Sales (MoM)_PC_USD_Daily,0.010314910893740354
800,correl_AUD_JPY_3p_h1_4,0.00999636210889871
1,Volatility_USD_hourly,0.009598879914254163
169,HIA New Home Sales (MoM)_PC_AUD_Daily,0.008563223478675823
773,correl_AUD_JPY_3p_h1_1,0.007087271553768357
792,correl_AUD_JPY_3p_h1_2_1,0.0068513282339614
5,Volatility_AUD_hourly,0.005668010846253345
359,correl_AUD_CHF_20p,0.00536541909422397
360,CS_AUD_GBP_H4_7,0.005123351992972838
364,CS_AUD_GBP_H4_20,0.004788193048915905
354,CS_AUD_CHF_H4_7,0.004717752943468221
349,STDEV_AUD_H4_20p,0.004664985132080635
804,nb_years,0.004045456573591669
809,month_5,0.003892400015341088
370,CS_EUR_AUD_H4_7,0.003601183882326209
311,Private Sector Credit (MoM)_VOL_USD_Daily,0.003491175350173007
783,correl_AUD_CHF_3p_h1_2,0.003024099238601324
815,month_11,0.0029291699374485365
356,CS_AUD_CHF_H4_10,0.0026707981178721797
782,correl_AUD_JPY_3p_h1_2,0.002597578987092813
807,month_3,0.0025681187679156467
361,correl_AUD_GBP_7p,0.002387470527856838
287,CFTC AUD NC net positions_VOL_USD_Daily,0.0021488092863293146
816,month_12,0.0020790873471989275
811,month_7,0.001849479919136399
353,correl_AUD_CAD_20p,0.0017341542076869877
366,correl_AUD_JPY_7p,0.0016173928138975753
87,Construction Work Done_PC_USD_hourly,0.0015992459338775094
14,Construction Work Done_PC_AUD_hourly,0.0014250126439078333
801,day,0.0014224903484273252
374,TR_ADX_AUD2,0.0014112842168983052
197,CFTC AUD NC net positions_VOL_AUD_Daily,0.0013824224547651575
790,STDEV_AUD_H1_2p_h1_2_1,0.001370680035028883
345,STDEV_AUD_H4_4p,0.0012606773021856467
799,STDEV_AUD_H1_3p_h1_4,0.0011972316249815047
449,TR_VI_POS_AUD1,0.0010773487099115264
365,correl_AUD_GBP_20p,0.001073343856648214
371,correl_EUR_AUD_7p,0.0010558078637485074
45,Building Permits (MoM)_VOL_AUD_hourly,0.0010500228803032516
780,STDEV_AUD_H1_2p_h1_2,0.0010467633863727411
312,Private Sector Credit (YoY)_VOL_USD_Daily,0.0010420848710704542
548,VOL_ATR_AUD1,0.0010247489475220866
408,TR_CCI_AUD17,0.001014162971129237
358,CS_AUD_CHF_H4_20,0.001004444029737603
372,correl_EUR_AUD_10p,0.0010030529412236823
440,TR_TRIX_AUD13,0.000953854072546636
343,STDEV_AUD_H4_1p,0.0009090412265155968
463,TR_VI_POS_AUD9,0.0008928940504457682
362,CS_AUD_GBP_H4_10,0.0008719888858871438
399,TR_CCI_AUD8,0.0008704638069194859
808,month_4,0.0008655513386729343
810,month_6,0.0008653855577091687
813,month_9,0.0008608792108989134
98,Investment Lending for Homes_PC_USD_hourly,0.0008418653747012413
561,VOL_ATR_AUD14,0.0008217607020982605
567,VOL_ATR_AUD20,0.0008167219120773608
812,month_8,0.000797312432572852
806,month_2,0.0007928023108972956
564,VOL_ATR_AUD17,0.0007725531889159211
545,MOM_TSI_AUD,0.0007604061919404284
222,Private Sector Credit (YoY)_VOL_AUD_Daily,0.0007396017449460328
421,TR_DPO_AUD13,0.0007350040233688877
451,TR_VI_NEG_AUD3,0.0007058543858824886
60,OUTDATED - RBA Deputy Governor Lowe Speech_VOL_AUD_hourly,0.0006807682056257819
